Search term,Business Number,Business Name,Address,Phone Number,Website,Rating,Opening Hours,Photo url,Business Status,Review
solar panels Amsterdam,1,SolarCreed B.V.,Rigakade 10 1013 BC Amsterdam Netherlands,N/A,http://www.solarcreed.com/,N/A,maandag: Geslotendinsdag: 09:00–12:00woensdag: Geslotendonderdag: 09:00–17:00vrijdag: Geslotenzaterdag: Geslotenzondag: Gesloten,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZK24QE8IRmB2gBUwh92k91azjOKn7X9NtubzhuRhDnAWzktTLl6W6Cyw6tPB5xRWezmN8j-9fsCaQn9M4gUMFLm9FctkvSGyhDTg0kIbJ9aNI-GmeVf5ox7sD1-r5EevkTr5YGfcyoBuhtL6O0tQUU__fWyZHdMOdM7X_72n8Rkav_&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUo,OPERATIONAL,Author: None Rating: None Text: None
solar panels Amsterdam,2,Triple Solar B.V.,Programmeurstraat 6b 1033 MT Amsterdam Netherlands,020 435 7555,http://www.triplesolar.eu/,3.9,maandag: 09:00–17:00dinsdag: 09:00–17:00woensdag: 09:00–17:00donderdag: 09:00–17:00vrijdag: 09:00–17:00zaterdag: Geslotenzondag: Gesloten,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJa5IlZ739KZighqvH8Y7WF20Mp24nY73FGBHRcfy-TfKlvNxTrRqjirbmuLu-p_5885qTsWSALyiJQi498pPV52JD5z-PeJtE1SPoJptnAmEN-4aIMD1QaTA2v9Qv_hgqqPddBqg4C5e8dMFM3CcgEwEY7-vpN1nOnSfdmFAIcVwx_-&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZ7xhxrXzGKBmaH0_TWTfWXmRdReTz4Zf1NXxdJr8H1wUjgT4x9EYXQxQLvG9UqgitHbyDXCGK-3o8S0IbA0jDlFpmnooypB7Gg325itjrq1DMuZLcYb_G2wCBsYREd3JBarBKyfnJCXaxIyx_VYUj7DfBuaue2ZZDQfqDtwyEh9d9v&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJb_azK1JoiZCxDL7ZA-F96G-7_Hmyx7RrZVS6ptV8z7X8ikv7C3X_QR2HOJ0e6xw3cOvZgiO3F6biIQIiE5kjTu-m8vO1388SEL2bn4d2oU4p5bx98_Hdpt2z8emXnHlI4MsZgBsFD6HSgDwuEl9BPnn9IiKn8PvktPNKxrCvErFsnS&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYAQGSY9KYyiLTq0kOKXTtwX7Iq5EO1668YB5pR50kVsWOjgkHYTkgasx-UKXLeC7N9nnBpybWZGnfteq7M0q8ODdJSTAhDzsev-_xtYzCvEKeDmjr6QLBNSI5G7NPtlDRBPkTbeH7Yrgj7bUjOU1ZjTXCODr92jMsXoLxFJWOif0Ik&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZzoJiOm_AiP5Lkb_bg5-TwxibBPvh73bnB4XJjH9fbJHOqKXSY9HKKgw32LobEk5JSqNGFyJDXMSTFB9_wEFrAISGjisQ_G_e5dxtNUFCVepChQD0wpORpkLzaw9hJoHNHOteIwrNPeH5_4VnK6sE30f99VOV_cnM-tLJByHz_1Tiw&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYPRo0ZSG6ld_6JCU3ZMkzIkmZ2pZBfW2eWgG3n6u5xmCB0QnU_QIzB0mvQKpYyKa013v49n1p8buHUPCqR5kIJtRk1jxTsqSNQdgcVEJpwRdwxCNlum0VEvgZojKERqCNDeiLQ1Kgp5CcBdyG_QyJ7FcF2maVSW6jN05ubSn93xLC9&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZLL5heVPSH4F3GLnG6skKvWziZ5MmCqQAYutcV9IE77ASyivzR7rKLwT8lXM6-xK09PFaS3MJAjunKntDTBkQz3pv3-ZUUav7kd9FX50_fA5axdXqCDCeIso0ptlk6wqURoRebSQ-mFKkCHv3cgc3HxtXLCmbLmmZ6lf7oOrb_ovIr&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbHdImTnI7StJSdMYK0yBCvRzKm4LIYnEKKs1heUA2Qyl4c5o516J8BM8P9k0X51EsEdqVAdPxgEX6Fsqm0mG_ZkhIVOX97nZjtWFx6hhxqQQtXhC7TaMqY_LsPlj4-ymWrslWHrBmmycv86uL_Wx38yy4LZx2qyS7HzNArUUnbKNxK&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJaEYVm0A51Dh26Wo6bv5_D3Q-mH6ATHNwibaPLpg-rBf0jylfiQnAKd6bD63vaW1GBlSYDCwtZ1rQhNhBP7hBzKoQsbotDdpCh7R1p0k3Hklehg6GYUWBhySMFipJi_vljTDyBoRVBU0vZ-B6mqUTXL65IQ1eo9dbS7va0IhO2ruj1M&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbftz2EqdLBtaWi6QUwmgfQLk9xMm24fO6Jj8pZuvA4JylM3Q8CfdPVQze8XZrPRovD0hecCNRnvftKcJA8oCv6ktCXAjUiqWG31Xu_GQ6kT3NRTA0obpEGH_QuZRgOLrhAon30bZIu_6ZmCL7AT7LAM65ct9tCGjjIbo_PKvwtPKjO&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUo,OPERATIONAL,"Author: Roland van der Heijden Rating: 5 Text: Triple SolarIn 2018 hebben we onze 60er jaren woning grondig verbouwd. Onze wensen: een comfortabel warm en goed geïsoleerd huis dat bovendien levensloop bestendig is.Om het huis tot in ieder hoekje te verwarmen hebben we voor vloerverwarming gekozen met een maximale buisafstand van 10 cm.Met een zeer zuinige HR ketel hadden we het plan om ons de komende 10 jaar te oriënteren op een slimme en milieuvriendelijkere vorm van verwarmen dan gas.Toen de verbouwing bijna klaar was viel er een folder in de bus van een plaatselijke loodgieter waarin ik las over de oplossing van Triple Solar met PVT panelen.Nieuwsgierig geworden heb ik direct met Triple Solar contact op genomen. Dit was een zeer prettig en verhelderend gesprek. Om mijn nieuwsgierigheid te bedwingen en de werking te doorgronden heb ik de kans gegrepen om een installatie cursus bij te wonen. Ik was gelijk verkocht! Een stil en gasloos systeem om je huis te verwarmen, ideaal!HR ketel en gasaansluiting eruit en nu alweer 2 jaar aan het genieten van een systeem van 18m2 PVT panelen dat zelf elektra opwekt en bovendien de bron vormt voor de NIBE water/water warmtepomp.Het allerbelangrijkst vinden wij de stilte van het Triple Solar systeem dat ook nog eens voor een royale hoeveelheid (180 liter) warm douchewater zorgt!Tot nu toe een betrouwbare en prettige oplossing.Met nog 12 PV panelen erbij zijn we inmiddels volledig zelfvoorzienend."
solar panels Amsterdam,3,Solar Sedum,H.J.E. Wenckebachweg 47D 1096 AK Amsterdam Netherlands,020 308 0622,http://www.solarsedum.nl/,4.9,maandag: 09:00–17:30dinsdag: 09:00–17:30woensdag: 09:00–17:30donderdag: 09:00–17:30vrijdag: 09:00–17:30zaterdag: Geslotenzondag: Gesloten,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbYANv72S6qIDJ8ULt9VAItDaEs_lbU8sjbmyDq5ZuGQBGT_hECo4z1YTTLk1gJRccxMUdjng2DjzAWcIDz8HEToGcMldcsnQzfMlThxGQmSHi7aOJ9JXMCj1b924fKg9BXjnjZVx-8T7Nw4KalKihZxfOedV3FJbov2OJ7Fj-p0Wxx&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZxvlxLVKoxICMYmI2-kdRby_a6FugrBIG--O1OT-DpBaCYpSZDr8F6t9PivhA9knqQQOeEg6s8L63Dl2pVK1u1_b9atdk8lheSOiyCi1vw7ZxJi12b7pYg7NoRsHIW82-kZbmcqFC5HgxO5_UNfQ9xKIWXk_6YVz6WLttSJVRpainr&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZaZZHCVZ3F5dUUmg4W0LbAYaHjzWhjq7YJ5rSELMhG_PEeAVNvt4dNdtqc_vKQxMNi0LQORlgqKtM_eNNu_3WatSdTIv0vmiEndrjp2Giw1rpEIbAeJhraxhO41OZplkZJoUOd42jbboO-zLniO-17NkCx4lWO3TqBUuhABj4PMm8W&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJa676WtOLU3UsOjKgWrNst8ciOHRETly5SDNvzbtuNHlY4qyPoIAEawRZuyryUwo-JYB7eNk0IWvCTiYhThDWT3XvPf880qvAMzOtF7Pd12RNXEOFgKD1FgJVAXTH3R0pLKgU62tpyi6wunr4_iZ8EgOC-6b6sGEn6AlzZlPSrTPWTn&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZO2oTrCDfE1OgnaGv6r5bsECyrk290LUvhv_sSEP278jEHjuSSox0t4WPehd2mtaCbciXvxw4ISQnojl7PDuSI_6NKdZ_2Cvw663Xn0wYTc1po3XieHYyFFjMWIj6liVNS-z1-KlaE309p9b9qM6fIUpMqDIv74wCN_4dwbYXEFyIg&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYsdxa5dV138HNQyh65s7bub3ntgn95LmoCScoIw-qhQtFFSVEwk88AaIyCdplaIb4bpsly_vmxQzhVxsd0BpxGIyw55GGUWRiWrrKSkw1LoKfh98m3oxKsKnvWcS_BTRAqgpqWxIK082yqrZaDDzzhXxe5uWcMr-m7Y8mQHMqet5RP&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJaNt4soZCWSd2aH9OqnOn_YEsOF6bi9Hphvp_B608P7cZiARXdP0mMA8nURKnBmxfA2Jpm6G_EsHydQyVITSMxAjKUczwujg3EsK8m7hVIe2srGyUCX5tSKi7ShLI3jxw96MUa4esZ038jQkEpIPsqBeoA4PibvWixBtweEZ1PjIHj-&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJY9JUJt5SkLqEFGSxcLkViZMZcBGZAn7woF866VsEaDJ9vDvs7l6TPxZurYJR9FeTp8sua5iAjmOyZ74_05VpHGOzLOXH-xrpn-w6cgRMnoFj7eiesZXollWKWn6Iyu6vUcXRiadjmAEVzIti2D3ux5lKM-ZaPrWt2mGAW35sAIaqxG&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJaGXBoN2afUzLimu5XQ9xFTjs3rxC4E8Gus78Mdk2etW-F979Eoj7qAH7xv_ZxBAb2evQH8XZJC_pIBT48iVlf6oukFzbo_b7P2lFJT9TdNdeyK38GKXYRjxoz9aKZBqbKtel_EaENuephnzg1tfVPV6ONDMR6KF5Sm5u9YHCwtO0jc&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJY-tvAB97NOskqeChWa2XkXcDwx661ORR98gVbqKfWGHr9CjczgdMoX1lbdlWr2T-yE4UHO6FQ_hlhO-FRl4u8fctOUtX-ZLZwfdva0e851eO4oz0sZNDSC7HWT9PXZKxMXym_z0MBZcYVREk3akB4mUMII9ESPesPJXg5EiH9rBBZi&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUo,OPERATIONAL,"Author: Peter van Wijk Rating: 5 Text: Van de jaren geleden geplaatste omvormer van de zonnepanelen moest een nieuw WiFi wachtwoord ingegeven worden. Van mijn type omvormer kan ik dat niet zelf. Solar Sedum heeft dit snel, professioneel en ook nog eens gratis voor mij gedaan. Gelukkig woon ik niet ver van Solar Sedum af. Top service erg blij mee."
solar panels Amsterdam,4,Triplesol,Vermogenweg 17 3641 SR Mijdrecht Netherlands,0297 775 638,http://triplesol.nl/,4.7,maandag: 09:00–17:00dinsdag: 09:00–17:00woensdag: 09:00–17:00donderdag: 09:00–17:00vrijdag: 09:00–17:00zaterdag: Geslotenzondag: Gesloten,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbykquDivx1zbcW-qPyfvF1wWum7uYmZHb4ze1SuPMrcG2J0K6OhATmbR6mH5-UJAweyYclt6gxP7d_ruaqbWhaMlB-cV_gE-v5_diNMBiHkfFs8sAVwbLZPIv0ol7_I-d24EplKquqJ_R910jLFjpWJUcRCjcRqfR2YZwRsafuyc6E&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbdkIjBcpFlnT7lmsmr8zw2dDLJ0J1qRgBHMedmelacMMXLTwzyRnmNJjlgCqmVL-Eg0CRwN5qU0Imz9-Vzh_eOBq8iekPW294_fu2jRs_OEeVQNK778Z0j5Jfu9q8R36SKnqtjWdxXMeSyISrcBZiWS4oK2lnYg_AlZbcvhfgx_Umf&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZPz4eoP91s9gH8dVoxtc9pRnv4RCJBJVW9riybc3YCalIi2BN_KKTh7zvtsn3roAmd7RcaOlCOJvrI1fPpoTG9Wt9FkOkiI4bi4_vuPnScG9lNNPLigz_bmuIWzPjpHE-tEe5VQeNnNPrZRVrCk0RNXnZmhC4mjMQEH4SlS-6zpBPl&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbCC1HhrXmsEgPFEEh3K5ILhj0Zp6OxxUdt7IUFxtiAyT6hk7QDIXbJ2tz-KqWCzUP0uwwrviBSBSSdxkJ87QwqJUMyol3UCXmuX6vVwBBKu8iXhvNh36nWzQuSo18jA7b7xFBRraxEogsEdHlydtnXT3CaGE2M6_MqYbEdy8EYrs1M&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbFVYyGkRNSUmkOF2rPiKAESynqUOBq7y2cVwt1FTlYgG8lh72ReDcgw25I-bjeCBPSdIrXDvMrnZPptNNdENAoirkMDVoH8cHmKAegVslrt-DSaGytcIfuGwr9cU3rZ4EqXpM_tEA8NH_vcjHOw_HdrL1dwOH_2xCNV9nvjBzxqeSZ&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYczi1kkCWIuQtCbfHI3KJxQZrb89PzyYrQikQgn5Y2MmtoGUQGENmSsWadMvxbTX90wUJ76_T7IITLsI8iOLDEx00tQBt1mtBIR6SvQD6eVYOP0_NZW4tLEvFMNRJL7LMqILaw6c2SujAJgHCeiKS9HZTdXkf6E9DcMEUbUwVTXJcb&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZ5JqmDHO2B-NFZpf0fGZiw-WJsk_dOOlisTHiMhO8ECMVoSMhIfStqt0grNACiB81hPBmTm78AnbdL9NEIwOwnKdtYmh23qUpMnHdnucLTPHNspmgDhQlfV-NHwiE0ddMmsjf3ARR5elZGg4FikZBxD6ajmmHIlsvlKXyoqqxY4qwU&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZC01Pd2KlfRm330rHbMrrAuYCHj1bjaiYxYPPbnzk5-5Q_IxxT06rdqJ8SKsOFEtJyJ2yRpEza0d7_jolOEsQL068mQVrWxXl8HWOIGocS4m2pBbEI5oWEZmlfyVURtZFl7rghiCfMZknheETxLh7rSWyV7hyM3LrSpgFRBafpBbRk&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZpRX6hTCf-eJfY3EnIdCsxHi4k4M3j_HS1yA2Y_DNtF9DqiUjiPDD09mI8eJ7cPLzebttN2tkZncxTKY9LICHAPgcMFSwv_Dn7_l8BtIaSlNnvRlxQdOEX8NcfmJ6QEXrgvo0Iu2U7-397hj1o1ogxKPnN3Ax2sYQBa6p2CqK4LGB0&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJawuPig1fQcQuW3lP-_XccO3pNhG0A4lIxL1BMec_GsvxkvTAdS_qJDA4kE0bLGZqOmnibuT0lcQJFUxsJr1QIXJfFEqfQtkdTWH2Sp5gOrd4NoicBJ5I2RWf_QWiNbEWrcajHE8ghuWFQtjdtIL6zLC1f__oBkKN68bAI2Ly9bluGJ&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUo,OPERATIONAL,"Author: Martin Spee Rating: 5 Text: Inmiddels bijna 3 jaar geleden een installatie (6 panelen op ons voordek, 4 op stuurhut) laten plaatsen door TripleSol. Toch wat lastige situatie op ons schip. Systeem werkt tot onze volle tevredenheid. Opbrengst zoals verwacht. Prima service en hulp bij gedoe met terugvragen BTW. Kortom, aanbevelingswaardig en betrouwbaar bedrijf."
solar panels Amsterdam,5,Lightsource bp,Gustav Mahlerplein 28 1082 LS Amsterdam Netherlands,085 064 2438,https://www.lightsourcebp.com/nl_nl/,N/A,maandag: 09:00–17:00dinsdag: 09:00–17:00woensdag: 09:00–17:00donderdag: 09:00–17:00vrijdag: 09:00–17:00zaterdag: Geslotenzondag: Gesloten,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZuzr0sc_K73axX3VAb1Q5j-oRHIAnkSGrVzKJNgvP2dp1zsb1x7FCpmnuksb1xZCZPKSkxCBB0AgILOgYcXEsJpGlrlm50GBkujzHLl3w77hWs03SuwoiVKgHRIzRn73Ufy2JjKStQtsX0NN0z8lWizbe6iTE3RZkl3hSdgsUIojo&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJamjkkZxn1mAhU8JwPkat9RRSLRnYPf6Vb1G7Qdg23bFvnyjzGiNGUfVnDN_D-YzzynLQVSPPShevDYABqm9AVWAwvUmrme45X4zhbOsw8GD42zcX930f03kosNZuYqUlcxt5fN9FfCATDvtMlPk4jU079t1mMsaUGBTAYYeBok43U&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUo,OPERATIONAL,Author: None Rating: None Text: None
solar panels Amsterdam,6,The Solar Store BV,Ronde Tocht 48 1507 CK Zaandam Netherlands,085 201 0160,https://www.zelfstroom.nl/?utm_source=local&utm_medium=organic&utm_campaign=gmb,2.9,maandag: 07:00–17:00dinsdag: 07:00–17:00woensdag: 07:00–17:00donderdag: 07:00–17:00vrijdag: 07:00–17:00zaterdag: Geslotenzondag: Gesloten,,OPERATIONAL,"Author: Jeroen Lafeber Rating: 5 Text: Prima bedrijf. Offerte aangevraagd en ontvangen, besproken. Daarna komt iemand langs om te schouwen en wat zaken te controleren. Vervolgens aardige en kundige monteurs om de zonnepanelen te installeren. Allemaal goed verlopen. M.a.w, tevreden klant."
solar panels Amsterdam,7,The Switch,Barndegat 8 1505 HN Zaandam Netherlands,020 700 9392,https://www.jointheswitch.nl/,N/A,maandag: 09:00–17:00dinsdag: 09:00–17:00woensdag: 09:00–17:00donderdag: 09:00–17:00vrijdag: 09:00–17:00zaterdag: Geslotenzondag: Gesloten,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJYDNfZqS1AULvJuWV8ZuZV3MYtiQHz53eBbm6GV0EC_e6y9O61uaH9dwwxS9FMpeFGy1MoQio3ymVFNX-8LcE6p03-d4r21m9AW5SJD1nQRGvur8r_bVRE_xb4aulQyrMfiRfcOiVMHRhn1pKH4IHSM-kpqXcBXbYgTeCtrWX4a6-eE&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUo,OPERATIONAL,Author: None Rating: None Text: None
solar panels Amsterdam,8,4Washing,Kolgans 1191 SK Ouderkerk aan de Amstel Netherlands,06 22273465,http://www.4washing.com/,N/A,N/A,,OPERATIONAL,Author: None Rating: None Text: None
solar panels Amsterdam,9,SolarClarity Group B.V.,Hogeweyselaan 145 1382 JK Weesp Netherlands,0294 745 700,https://solarclarity.com/nl?utm_source=google%20my%20business&utm_medium=organic,3.6,maandag: 08:30–17:00dinsdag: 08:30–17:00woensdag: 08:30–17:00donderdag: 08:30–17:00vrijdag: 08:30–17:00zaterdag: Geslotenzondag: Gesloten,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbf57FqvQDD5k-3pp8YWcKg1hIEoEB5YQiG_kSeWLvFT4EoJvFr0iryNN0OPZCcV5_EvgOHxlWLP7FYaYj0nj5gOJSZ7DD5zvCZF1VoPwruvO1u-nLXWyh611OFD01zD0jjNLeJO1134Tr2JL6Bk3nlmWQpF7gwPuy_gZiZbE_XDmXZ&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbLPDNb35wA6tCRC8y419lJ6ybxW1hSEl0vpKbp-dcOeXOEJC7tXn_OLYm4oNyChAT7Y5ngaUWuD1Ata_UiZXPwCu4r5gXXxSFCN0sCQf0CSBnaOZB4ZUT8qDpx1NAATV2gpFEWt6rMUyGNmYBpENBOaxNr0Sg9cwny-Rdu5goVCUKq&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJb_perpbYzuc2V5DnP9ofLtJyWpIJQ9Ks4DobKyVMUhaoj0D1U5XUWY2N0yQNGCDsqnvfZX7BUNFNp4A7_U-FnjCYmEF-DVravGYbDrKMreFjW39jB7p6uTFbQRH7aW9RMySxNJyr6bJwN4CQWH9Z1_7v3Hfrap9cXDyDMhosnxZU_b&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZQnrezLAEracIRDdY0tTBBihU8tWIubJcRiMxGjiskSjWFCcjOWze1uJbX6IR2-WHphJIbs8TPGDbbFBAB7hZv0WTBCp_JfkptFYk5ap2NqshHrUbAr3AXBDLErcITj4T0_ZbmF6-R05HkFj-Qv-8Yy-0S31aEXfIOIkcu36usjbxC&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJaWmfQDW0bOdjkhhFPN2h637-4BrTbGP6fAMAjE8dQyvUGE_7QJfjZJAWCxxTmHTEyDALNcACs9Kdyiv20xoG6TF_sHdSY7F7culesZzJLlgDyxb_Xz1BUZBBPCis28ToJZ_GrOlYMh8aXZxe45-z2FrqmfDi9KdwpZgjh6r8lPGZaA&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJa_uPZU1LBLTDhk24CU7mnpQn_J-GILFY6nWTs-N-nZL7-6l5D9Dg76xYza0eV2-mhikQ0m4S0lMlfb8DB8a8uc13xYpJuHuFBu8Z3dNxzcg_oEjcAI81h7AooeLKAxtcHHsfq9Th6KgWJILAn91F9lVAwD_Ok26td6zOTt4sHu-IAy&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJaSNj2ub8qkXiw144_KZbJeiQn1-3GYuo8Ndq3TBhidsT4X6oD2c-1f3y23H3NJVemXx9JUUXh5czHuyku74QTFGGbPgCCiKGcH0kouSr3VkEg1tYJM_pso1wCll-E8PbvuLTpwX2HyrTe8Ic-RhKVZMdGX0kgXmHCs1cEwov-uAA76&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUo,OPERATIONAL,Author: Eigenwijs Bouw BV Rating: 5 Text: Fijn bedrijf om zaken mee te doen.
solar panels Amsterdam,10,Power Solar Energy Electronic B.V.,Joop Geesinkweg 901 Duivendrecht 1114 AB Amsterdam Netherlands,020 561 6047,http://www.powersolarenergy.nl/,4.6,maandag: 07:00–18:00dinsdag: 07:00–18:00woensdag: 07:00–18:00donderdag: 07:00–18:00vrijdag: 07:00–18:00zaterdag: 09:00–13:00zondag: Gesloten,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJbiQ8k__Gs5472bKBZRPf-sstNrUiMusXolVHWK1UF6PYvY67HrOZpBTU_eiihSKPofEmAFqIq-Y1S69DfXE520S3--qZ1k33dFsb1dN2Ga8rNaeWG1O-3m3oMGmFO-eR2uBYbxsJ4kGsULlI7jqW7220ZjtXAnH92cnHiFWU_6KGqX&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJaXfSFZ_XfoNrC3ptkXsWCe84lSbfugQKNoLcP0JbvYZQ8zCk41VqOm_-0URxdllZRr5iLphQX-lri9NYQEpHkhF0AscTol5zQbqqc_H6fvo4LdHdKSUytMVMtfCp7ZepXA0bI7YnRcAEWGmJtJP-yOTunivbOu_1bSzwpAUYC303Zd&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUohttps://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATplDJZosmJgsAb-pbCPoGgoG53lAZzgUpwENn1G3-6ZFVlCeKYIQ2GzpPSL3Usu5aqRPRYicrpZsTUXsl7FENrzsGVLMRdh7hhKG2uBJwF8two3Em0c_RHP5BbxPZekVUXZWB8oY-ovOKsU0blmpiwQdk5KapRmz5ZzVBAksVvdijDL53RF&key=AIzaSyDnKCD2RxoPNQZyq9kLFpEWLHnEKacHAUo,OPERATIONAL,"Author: Emre Bo Rating: 5 Text: Top service! Ze hebben mijn zonnepanelen geïnstalleerd en het werkt als een zonnetje. Het team was chill en super professioneel. Gekozen voor Jinko panelen, doen het zeer goed,"
